Time	K8	K9	K10	K11	L8	L9	L10	L12	L11	L13
0	200	208	187	197	200	201	188	0	200	0
60	203	202	187	196	202	186	192	0	196	0
120	203	194	180	181	190	190	192	0	200	0
180	193	196	190	184	193	185	186	0	197	0
240	198	197	194	183	193	187	185	0	204	0
300	191	196	192	188	196	198	191	0	206	0
360	193	189	192	189	197	185	177	0	203	0
420	194	191	178	196	193	187	185	0	207	0
480	194	191	194	177	196	186	180	0	202	0
540	193	202	178	188	201	201	181	0	196	0
600	189	188	193	203	194	185	189	0	203	0
660	191	191	189	187	193	203	181	0	204	0
720	191	194	188	184	186	185	183	0	197	0
780	193	199	193	187	197	189	190	0	189	0
840	174	198	189	197	194	181	180	0	207	0
900	198	189	204	196	184	180	192	0	195	0
960	201	196	184	183	199	188	173	0	199	0
1020	188	195	195	192	197	189	180	0	200	0
1080	183	189	179	176	190	191	171	0	208	0
1140	187	182	198	184	195	193	181	0	206	0
2012	175	199	191	196	186	190	195	0	230	0
2072	174	205	192	188	197	201	200	0	225	0
2132	179	209	182	189	182	198	193	0	220	0
2192	186	203	185	196	173	204	197	0	217	0
2252	182	208	175	193	172	195	192	0	230	0
2312	179	197	188	197	173	187	187	0	225	0
2372	168	198	197	181	174	197	186	0	218	0
2432	166	203	185	188	180	193	176	0	218	0
2492	170	195	191	190	188	196	197	0	236	0
2552	175	201	183	194	175	182	191	0	231	0
2612	169	207	189	192	178	192	193	0	230	0
2672	179	205	187	199	163	183	189	0	239	0
2732	174	215	180	192	173	206	195	0	227	0
2792	170	201	178	171	167	187	199	0	229	0
2852	158	199	188	184	177	180	188	0	233	0
2912	164	210	187	182	167	182	194	0	227	0
2972	161	202	182	199	159	179	190	0	232	0
3032	174	209	179	189	183	192	174	0	227	0
3092	173	201	185	194	169	186	191	0	237	0
3152	176	200	182	183	168	185	192	0	232	0
3212	167	211	185	173	170	185	191	0	223	0
3272	163	205	176	183	173	184	187	0	245	0
3332	173	203	184	196	181	201	197	0	242	0
3392	164	198	192	177	170	195	194	0	235	0
